,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
49,2025-06-26 17:37:39.596800+08:00,2025-06-26 17:37:39.596800+08:00,0,0,57,7,7,3,2,0,9,1,105,56,1,0,0,0,0,0,0,0,0,0,42,0,2025,6,26,17,3,2,False,False,False,False,False,False,177,26,0,1,0.951057,-0.309017,-1,-1.83697e-16,9,6,-0.951057,-0.309017,0.5,-0.866025,1,4,0.951057,0.309017,0,1,3,2,-0.951057,0.309017,0.866025,-0.5,0,11,0.951057,-0.309017,-1,-1.83697e-16,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,3,0,8,1,7,0,7,3,5,1,4,1,8,0,3,3,10,1,4,0,6,2,2,1,2,2,10,2,3,0,10,3,2,3,6
50,2025-06-27 17:37:39.596800+08:00,2025-06-27 17:37:39.596800+08:00,0,4,18,0,15,3,2,0,9,5,36,56,1,0,0,0,0,0,0,0,0,0,34,0,2025,6,27,17,4,2,False,False,False,False,False,False,178,26,4,1,1.22465e-16,-1,-1,-1.83697e-16,3,2,-0.951057,0.309017,1.22465e-16,-1,0,0,0.951057,-0.309017,0.5,0.866025,7,2,0,1,0.866025,-0.5,0,11,0.951057,-0.309017,-1,-1.83697e-16,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,5,0,8,1,7,0,6,3,5,1,4,1,2,0,3,3,10,1,10,0,6,2,2,1,8,2,10,2,3,0,4,3,2,3,6
51,2025-06-30 17:37:39.596800+08:00,2025-06-30 17:37:39.596800+08:00,0,2,17,35,11,3,2,0,9,3,33,28,1,0,0,0,0,0,0,0,0,0,56,0,2025,6,30,17,0,2,False,True,False,True,False,False,181,27,2,1,0.587785,0.809017,-1,-1.83697e-16,2,11,0.587785,0.809017,-1,-1.83697e-16,5,10,-0.587785,-0.809017,0.866025,-0.5,5,2,-0.587785,-0.809017,0.866025,-0.5,0,11,0.951057,-0.309017,-1,-1.83697e-16,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,8,0,8,1,7,0,5,3,5,1,4,1,3,0,3,3,10,1,6,0,6,2,2,1,10,2,10,2,3,0,2,3,2,3,6
52,2025-07-01 17:37:39.596800+08:00,2025-07-01 17:37:39.596800+08:00,0,0,9,57,7,3,2,0,9,1,19,19,1,0,0,0,0,0,0,0,0,0,21,0,2025,7,1,17,1,3,True,False,True,False,False,False,182,27,0,1,0.951057,-0.309017,-1,-1.83697e-16,1,7,0.951057,0.309017,-0.866025,0.5,9,6,-0.951057,-0.309017,0.5,-0.866025,3,2,-0.951057,0.309017,0.866025,-0.5,0,11,0.951057,-0.309017,-1,-1.83697e-16,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,0,0,8,1,7,0,9,3,5,1,4,1,1,0,3,3,10,1,1,0,6,2,2,1,11,2,10,2,3,0,9,3,2,3,6
53,2025-07-02 17:37:39.596800+08:00,2025-07-02 17:37:39.596800+08:00,0,4,1,18,15,3,2,0,9,5,1,19,1,0,0,0,0,0,0,0,0,0,58,0,2025,7,2,17,2,3,False,False,False,False,False,False,183,27,4,1,1.22465e-16,-1,-1,-1.83697e-16,0,1,0.951057,-0.309017,-0.5,0.866025,3,2,-0.951057,0.309017,1.22465e-16,-1,7,2,0,1,0.866025,-0.5,0,11,0.951057,-0.309017,-1,-1.83697e-16,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,4,0,8,1,7,0,2,3,5,1,4,1,6,0,3,3,10,1,3,0,6,2,2,1,7,2,10,2,3,0,5,3,2,3,6
54,2025-07-03 17:37:39.596800+08:00,2025-07-03 17:37:39.596800+08:00,0,9,37,52,3,3,2,0,9,9,69,19,1,0,0,0,0,0,0,0,0,0,43,0,2025,7,3,17,3,3,False,False,False,False,False,False,184,27,9,1,-0.951057,-0.309017,-1,-1.83697e-16,6,4,0.587785,-0.809017,0,1,8,8,-0.587785,0.809017,-0.5,-0.866025,1,2,0.951057,0.309017,0.866025,-0.5,0,11,0.951057,-0.309017,-1,-1.83697e-16,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,10,0,8,1,7,0,8,3,5,1,4,1,7,0,3,3,10,1,5,0,6,2,2,1,6,2,10,2,3,0,3,3,2,3,6
55,2025-07-04 17:37:39.596800+08:00,2025-07-04 17:37:39.596800+08:00,0,8,24,46,13,3,2,0,9,7,44,96,1,0,0,0,0,0,0,0,0,0,8,0,2025,7,4,17,4,3,False,False,False,False,False,False,185,27,8,1,-0.587785,0.809017,-1,-1.83697e-16,4,0,1.22465e-16,-1,0.5,0.866025,7,9,0,1,-0.866025,-0.5,6,2,0.587785,-0.809017,0.866025,-0.5,0,11,0.951057,-0.309017,-1,-1.83697e-16,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,3,5,-0.951057,0.309017,0.866025,0.5,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,11,0,8,1,7,0,0,3,5,1,4,1,11,0,3,3,10,1,9,0,6,2,2,1,1,2,10,2,3,0,1,3,2,3,6
56,2025-07-07 17:37:39.596800+08:00,2025-07-07 17:37:39.596800+08:00,0,4,23,1,15,27,2,0,16,5,42,85,1,0,0,0,0,0,0,0,0,0,52,0,2025,7,7,17,0,3,False,False,False,False,False,False,188,28,4,1,1.22465e-16,-1,-1,-1.83697e-16,3,10,-0.951057,0.309017,0.866025,-0.5,0,1,0.951057,-0.309017,-0.5,0.866025,7,2,0,1,0.866025,-0.5,8,8,-0.587785,0.809017,-0.5,-0.866025,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,6,4,0.587785,-0.809017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,1,0,9,1,10,0,11,3,1,1,8,1,0,0,9,3,7,1,0,0,11,2,5,1,9,2,0,2,6,0,11,3,0,3,3
57,2025-07-08 17:37:39.596800+08:00,2025-07-08 17:37:39.596800+08:00,0,9,51,37,3,27,2,0,16,9,93,85,1,0,0,0,0,0,0,0,0,0,39,0,2025,7,8,17,1,3,False,False,False,False,False,False,189,28,9,1,-0.951057,-0.309017,-1,-1.83697e-16,8,6,-0.587785,0.809017,0.5,-0.866025,6,4,0.587785,-0.809017,0,1,1,2,0.951057,0.309017,0.866025,-0.5,8,8,-0.587785,0.809017,-0.5,-0.866025,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,6,4,0.587785,-0.809017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,3,0,9,1,10,0,7,3,1,1,8,1,8,0,9,3,7,1,4,0,11,2,5,1,2,2,0,2,6,0,10,3,0,3,3
58,2025-07-09 17:37:39.596800+08:00,2025-07-09 17:37:39.596800+08:00,0,8,42,24,13,27,2,0,16,7,78,85,1,0,0,0,0,0,0,0,0,0,33,0,2025,7,9,17,2,3,False,False,False,False,False,False,190,28,8,1,-0.587785,0.809017,-1,-1.83697e-16,7,2,0,1,1.22465e-16,-1,4,0,1.22465e-16,-1,0.5,0.866025,6,2,0.587785,-0.809017,0.866025,-0.5,8,8,-0.587785,0.809017,-0.5,-0.866025,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,6,4,0.587785,-0.809017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,5,0,9,1,10,0,6,3,1,1,8,1,2,0,9,3,7,1,10,0,11,2,5,1,8,2,0,2,6,0,4,3,0,3,3
59,2025-07-10 17:37:39.596800+08:00,2025-07-10 17:37:39.596800+08:00,0,2,16,32,11,27,2,0,16,3,30,64,1,0,0,0,0,0,0,0,0,0,9,0,2025,7,10,17,3,3,False,False,False,False,False,False,191,28,2,1,0.587785,0.809017,-1,-1.83697e-16,2,8,0.587785,0.809017,-0.5,-0.866025,5,5,-0.587785,-0.809017,0.866025,0.5,5,2,-0.587785,-0.809017,0.866025,-0.5,8,8,-0.587785,0.809017,-0.5,-0.866025,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,6,4,0.587785,-0.809017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,9,0,9,1,10,0,1,3,1,1,8,1,9,0,9,3,7,1,11,0,11,2,5,1,0,2,0,2,6,0,0,3,0,3,3
60,2025-07-11 17:37:39.596800+08:00,2025-07-11 17:37:39.596800+08:00,0,0,10,56,7,27,2,0,16,1,21,64,1,0,0,0,0,0,0,0,0,0,47,0,2025,7,11,17,4,3,False,False,False,False,False,False,192,28,0,1,0.951057,-0.309017,-1,-1.83697e-16,1,9,0.951057,0.309017,-0.866025,-0.5,9,3,-0.951057,-0.309017,1,6.12323e-17,3,2,-0.951057,0.309017,0.866025,-0.5,8,8,-0.587785,0.809017,-0.5,-0.866025,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,6,4,0.587785,-0.809017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,2,0,9,1,10,0,3,3,1,1,8,1,5,0,9,3,7,1,7,0,11,2,5,1,4,2,0,2,6,0,8,3,0,3,3
61,2025-07-14 17:37:39.596800+08:00,2025-07-14 17:37:39.596800+08:00,0,8,25,42,13,27,2,0,16,7,45,44,1,0,0,0,0,0,0,0,0,0,51,0,2025,7,14,17,0,3,False,False,False,False,False,False,195,29,8,1,-0.587785,0.809017,-1,-1.83697e-16,4,1,1.22465e-16,-1,-0.5,0.866025,7,2,0,1,1.22465e-16,-1,6,2,0.587785,-0.809017,0.866025,-0.5,8,8,-0.587785,0.809017,-0.5,-0.866025,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,6,4,0.587785,-0.809017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,4,0,9,1,10,0,2,3,1,1,8,1,6,0,9,3,7,1,3,0,11,2,5,1,7,2,0,2,6,0,5,3,0,3,3
62,2025-07-15 17:37:39.596800+08:00,2025-07-15 17:37:39.596800+08:00,0,2,31,16,11,27,2,0,16,3,57,44,1,0,0,0,0,0,0,0,0,0,30,0,2025,7,15,17,1,3,False,False,False,False,False,False,196,29,2,1,0.587785,0.809017,-1,-1.83697e-16,5,4,-0.587785,-0.809017,0,1,2,8,0.587785,0.809017,-0.5,-0.866025,5,2,-0.587785,-0.809017,0.866025,-0.5,8,8,-0.587785,0.809017,-0.5,-0.866025,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,6,4,0.587785,-0.809017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,10,0,9,1,10,0,8,3,1,1,8,1,7,0,9,3,7,1,5,0,11,2,5,1,6,2,0,2,6,0,3,3,0,3,3
63,2025-07-16 17:37:39.596800+08:00,2025-07-16 17:37:39.596800+08:00,0,0,54,10,7,27,2,0,16,1,99,75,1,0,0,0,0,0,0,0,0,0,44,0,2025,7,16,17,2,3,False,False,False,False,False,False,197,29,0,1,0.951057,-0.309017,-1,-1.83697e-16,9,0,-0.951057,-0.309017,0.5,0.866025,1,9,0.951057,0.309017,-0.866025,-0.5,3,2,-0.951057,0.309017,0.866025,-0.5,8,8,-0.587785,0.809017,-0.5,-0.866025,2,4,-0.587785,-0.809017,-0.866025,-0.5,0,0,0.587785,0.809017,0.5,0.866025,6,4,0.587785,-0.809017,0,1,0,0,1.22465e-16,-1,-1,-1.83697e-16,0,0,0.587785,0.809017,-0.5,0.866025,0,0,-0.587785,0.809017,1,6.12323e-17,0,0,-0.951057,-0.309017,-1,-1.83697e-16,0,0,-0.587785,-0.809017,1.22465e-16,-1,0,0,0.951057,0.309017,0.866025,0.5,0,0,0,1,0.866025,-0.5,0,0,0.587785,-0.809017,-0.866025,-0.5,1,11,0,9,1,10,0,0,3,1,1,8,1,11,0,9,3,7,1,9,0,11,2,5,1,1,2,0,2,6,0,1,3,0,3,3
